0.010768,0.169957,0.737554,-0.017051,0.028428,-0.676519,0.735678,0.058492,0.026040,0.397164,0.116388,-0.468778,0.039913,0.150185,-0.230860,-0.622595,0.414098,-0.447339,0.065196,-0.073134,0.229464,-0.232749,-0.675464,1.330784,-0.007153,-0.165186,-0.297587,-0.182269,0.318896,-0.087713,-0.925357,-0.482601,-0.384338,0.619739,-0.416154,-0.447671
0.015751,0.172719,0.722571,0.007880,0.004633,-0.712283,0.701832,-0.036278,-0.010250,0.479274,0.361489,-0.621356,0.075378,-0.123731,-0.405079,-0.431104,0.865752,-0.645110,0.036617,0.020131,0.171010,-0.128832,-0.993697,1.296199,-0.191746,-0.141770,-0.855237,-0.407301,0.172440,-0.401602,-0.972487,-0.310508,-0.469298,1.026874,-0.553994,-0.257221
0.018987,0.172449,0.718968,0.024559,-0.003583,-0.717053,0.696576,-0.072648,-0.058746,0.463550,0.396012,-0.641108,0.119400,-0.250548,-0.404931,-0.331184,0.945706,-0.617310,0.017704,0.071396,0.109112,-0.138048,-1.139904,1.055093,-0.331024,-0.199204,-1.130619,-0.458318,0.023469,-0.604135,-0.840637,-0.094209,-0.583244,1.169910,-0.564731,-0.139315
0.020709,0.173352,0.717171,0.033277,-0.008041,-0.720259,0.692860,-0.086467,-0.085235,0.464060,0.401680,-0.631934,0.150567,-0.357910,-0.353396,-0.262297,0.951724,-0.628183,0.003778,0.099907,0.060301,-0.135672,-1.225418,0.836680,-0.388235,-0.203037,-1.223873,-0.471004,-0.036579,-0.780227,-0.656272,0.104108,-0.655975,1.246585,-0.577664,-0.083953
0.021604,0.175601,0.715220,0.039509,-0.009689,-0.723288,0.689347,-0.112991,-0.087577,0.478883,0.437934,-0.640762,0.155605,-0.457708,-0.310767,-0.258067,0.930620,-0.624682,-0.013137,0.102972,0.029441,-0.123414,-1.256892,0.622921,-0.402729,-0.207962,-1.314538,-0.502913,-0.068277,-0.936194,-0.448973,0.274934,-0.680286,1.319120,-0.591927,-0.077665
0.023768,0.178144,0.712910,0.049478,-0.008281,-0.727989,0.683751,-0.141531,-0.097454,0.505677,0.449112,-0.646548,0.167616,-0.561971,-0.263064,-0.274995,0.893881,-0.582758,-0.019321,0.110869,0.007456,-0.102336,-1.264424,0.442785,-0.382239,-0.193723,-1.363184,-0.511496,-0.081047,-1.063014,-0.244094,0.399624,-0.663955,1.348893,-0.595672,-0.086414
0.025503,0.180026,0.710499,0.056921,-0.005860,-0.724174,0.687239,-0.179605,-0.095196,0.514723,0.494251,-0.659626,0.166385,-0.632797,-0.242216,-0.327867,0.893003,-0.485610,-0.013358,0.103101,-0.002534,-0.079270,-1.249519,0.266326,-0.355956,-0.172149,-1.427383,-0.534041,-0.076699,-1.141607,-0.076316,0.456450,-0.623821,1.357929,-0.582008,-0.098548
0.027729,0.179167,0.709443,0.059159,-0.003750,-0.710662,0.701032,-0.192849,-0.104953,0.489297,0.504083,-0.669268,0.174932,-0.677826,-0.202092,-0.308635,0.914974,-0.388368,0.014073,0.080428,-0.009479,-0.051203,-1.223401,0.115752,-0.349894,-0.143604,-1.468268,-0.555063,-0.072591,-1.146404,0.076375,0.498245,-0.603580,1.378955,-0.572618,-0.088780
0.030434,0.175755,0.709920,0.060126,0.001032,-0.695595,0.715913,-0.190604,-0.127900,0.442819,0.479363,-0.719820,0.169053,-0.687860,-0.185206,-0.328894,0.933012,-0.356432,0.024734,0.058046,-0.006065,-0.035634,-1.172404,-0.008937,-0.348018,-0.110043,-1.503011,-0.557038,-0.069611,-1.126798,0.162228,0.514238,-0.591552,1.415502,-0.565493,-0.081872
0.033622,0.171380,0.712437,0.061003,0.010461,-0.677600,0.732821,-0.182953,-0.140931,0.405290,0.437759,-0.714466,0.170996,-0.674843,-0.186361,-0.388117,0.909546,-0.354339,0.030503,0.030412,0.010982,-0.026083,-1.095643,-0.115230,-0.358279,-0.092832,-1.557789,-0.558738,-0.074935,-1.075820,0.207575,0.540975,-0.587915,1.472052,-0.564100,-0.067482
0.037125,0.166459,0.715082,0.070207,0.023356,-0.665826,0.742429,-0.178150,-0.147732,0.414754,0.380488,-0.678141,0.184567,-0.655341,-0.221972,-0.513909,0.853154,-0.352842,0.011843,0.013744,0.018617,-0.034522,-1.005810,-0.180910,-0.388088,-0.084453,-1.609774,-0.545479,-0.074746,-1.007852,0.222106,0.580245,-0.587964,1.526991,-0.558745,-0.064308
0.039999,0.162314,0.715478,0.083707,0.035387,-0.658466,0.747103,-0.181506,-0.147188,0.462652,0.343708,-0.670268,0.181620,-0.648039,-0.247178,-0.636884,0.791477,-0.370784,-0.011296,0.002393,0.015556,-0.043967,-0.928032,-0.198809,-0.426827,-0.072733,-1.626219,-0.512455,-0.083519,-0.969380,0.204486,0.608858,-0.573864,1.548079,-0.552753,-0.068285
0.041523,0.158748,0.713170,0.093054,0.036533,-0.657244,0.747018,-0.200089,-0.150428,0.479589,0.370001,-0.682191,0.173697,-0.653918,-0.251565,-0.691654,0.763404,-0.389571,-0.032398,0.001730,-0.000997,-0.020900,-0.874469,-0.195027,-0.472532,-0.066228,-1.652809,-0.478716,-0.092295,-0.933535,0.198048,0.652013,-0.562225,1.580591,-0.533821,-0.067715
0.043882,0.154225,0.708500,0.097307,0.035829,-0.655343,0.748180,-0.227160,-0.144207,0.491115,0.441675,-0.713226,0.177020,-0.656325,-0.244140,-0.732968,0.751388,-0.420001,-0.058890,0.004931,-0.016113,0.010867,-0.821294,-0.184688,-0.521455,-0.060999,-1.674249,-0.447277,-0.111865,-0.873729,0.202381,0.702288,-0.555617,1.623239,-0.507625,-0.040736
0.047654,0.148376,0.700536,0.098410,0.033871,-0.653943,0.749351,-0.256706,-0.131209,0.502797,0.543553,-0.779275,0.178679,-0.647947,-0.249730,-0.792741,0.766873,-0.447080,-0.079284,0.009023,-0.020763,0.034435,-0.759586,-0.182464,-0.552061,-0.050749,-1.678864,-0.420955,-0.131328,-0.821655,0.186170,0.730460,-0.536452,1.651847,-0.480066,-0.008886
